_step,train_accuracy,train_ADD,train_loss,train_mAP,_runtime,current_lr,train_loss_affinities,train_loss_belief,epoch,_timestamp,val_mAP,val_accuracy,val_ADD,val_loss
25,,,,,2235.391167666,,,,,1745010894.6652293,0.29320782668647505,0.16929563492063493,53.83940028686798,0.0014314043856713744
26,0.16609025123383564,55.55623744520871,0.0009767468856089149,0.3552736560587947,2399.368809925,4.9872407473162294e-05,0.0010597854227099395,0.00029790278181750197,14.0,1745011058.6428263,,,,
27,,,,,2406.934734483,,,,,1745011066.2087727,0.3659232266363685,0.11167328042328045,54.44082967920043,0.0013710173467795055
28,0.17318503507461594,54.97745175839358,0.0009640822453454163,0.37156152508598667,2570.901489702,4.98520434086519e-05,0.0010416052201464507,0.00029551975945469813,15.0,1745011230.1665664,,,,
29,,,,,2577.993017454,,,,,1745011237.2671206,0.34536644025284846,0.1996031746031746,49.77911984103826,0.0013505698519847577
30,0.18519937246459586,55.060258865648386,0.0009501383960324926,0.375891461716024,2741.978566162,4.9830177195395695e-05,0.001030987487390001,0.00028976310091963193,16.0,1745011401.2526133,,,,
31,,,,,2749.328449731,,,,,1745011408.602455,0.4056365262431752,0.15315806878306878,51.35704710152059,0.0012920103091303083
32,0.18538243413441122,54.70897734871083,0.0009460111680603006,0.3789434003722653,2913.15032821,4.980681018220471e-05,0.0010272127775445554,0.0002882698523062961,17.0,1745011572.4243212,,,,
33,,,,,2920.410065741,,,,,1745011579.6841366,0.37914080406418715,0.15074404761904764,51.527934984031816,0.0013394845438943733
34,0.20629150923363063,55.4547911536264,0.000936553558521967,0.3825519438975632,3084.193732718,4.9781943810466375e-05,0.0010168422334595481,0.0002854216278441999,18.0,1745011743.4678078,,,,
35,,,,,3091.548447411,,,,,1745011750.8225546,0.3926678283160951,0.0964451058201058,51.06705926070257,0.0013323144355256642
36,0.16368390558411317,55.49299573978071,0.0009318074871026961,0.3897055956313242,3258.237935141,4.975557961405565e-05,0.0010146197655364155,0.0002829984019575077,19.0,1745011917.5119476,,,,
37,,,,,3265.397835094,,,,,1745011924.6718884,0.38973778939683856,0.23721891534391537,49.05057262191472,0.0013765134859741444
38,0.1543134363604411,55.12785332146347,0.0009357070794131845,0.3919028163906323,3432.96039411,4.972771921924036e-05,0.001018539757560607,0.00028429146841776583,20.0,1745012092.2344599,,,,
39,,,,,3440.54959037,,,,,1745012099.820266,0.36045610137008405,0.12905092592592593,49.93812909378655,0.0013083953831699632
